publisher	Nombre	Votos	Promedio
publisher	E.S. Lowe	4	7.75
publisher	E.S. Lowe	6	7.666666666666667
publisher	Eagle Games	5	6.2
publisher	Eagle Games	5	6.2
publisher	Eagle Games	5	6.2
publisher	Eagle Games	5	6.2
publisher	Edge Entertainment	110	7.045454545454546
publisher	Edge Entertainment	112	7.0625
publisher	Edge Entertainment	143	7.1328671328671325
publisher	Edge Entertainment	159	7.069182389937107
publisher	Edge Entertainment	19	7.684210526315789
publisher	Edge Entertainment	38	7.7631578947368425
publisher	Edge Entertainment	44	7.7727272727272725
publisher	Edge Entertainment	6	7.833333333333333
publisher	Ediciones de Mente	3	5
publisher	Ediciones de Mente	3	5
publisher	Ediciones de Mente	3	5
publisher	Ediciones de Mente	3	5
publisher	Editions ATLAS	3	6.333333333333333
publisher	Editions ATLAS	3	6.333333333333333
publisher	Editrice Giochi	6	5
publisher	Editrice Giochi	7	5.142857142857143
publisher	Editrice Giochi	8	5.125
publisher	Editrice Giochi	8	5.125
publisher	Efko	3	7.666666666666667
publisher	Egmont Polska	3	6.333333333333333
publisher	Egmont Polska	3	6.333333333333333
publisher	Egmont Polska	5	7.4
publisher	Egmont Polska	7	7.142857142857143
publisher	Endless Games (I)	3	3.6666666666666665
publisher	Endless Games (I)	3	3.6666666666666665
publisher	EnumeroCribbageBoards	3	7.666666666666667
publisher	Epoch Playthings	3	7.666666666666667
publisher	Esdevium	4	8.5
publisher	Esdevium	4	8.5
publisher	Esdevium	5	8.2
publisher	Esdevium	5	8.2
publisher	Estrela	10	5
publisher	Estrela	5	4.2
publisher	Estrela	5	4.2
publisher	Estrela	9	4.666666666666667
publisher	Eurogames	10	7.2
publisher	Eurogames	11	7
publisher	Eurogames	9	7.222222222222222
publisher	Eurogames	9	7.222222222222222
publisher	Eurojuegos Buenos Aires	3	7.666666666666667
publisher	Eurojuegos Buenos Aires	3	7.666666666666667
publisher	Eurojuegos Buenos Aires	3	7.666666666666667
publisher	Eurojuegos Buenos Aires	5	8.2
publisher	Excalibur Electronics	3	7
publisher	Excalibur Electronics	3	7
publisher	Excalibur Electronics	5	7
publisher	Excalibur Electronics	6	7.166666666666667
publisher	F. W. Woolworth Company	3	7.666666666666667
publisher	F.X. Schmid	4	6
publisher	F.X. Schmid	5	6
publisher	F.X. Schmid	5	6
publisher	F.X. Schmid	5	6
publisher	Falomir Juegos	3	5.666666666666667
publisher	Falomir Juegos	3	5.666666666666667
publisher	Falomir Juegos	3	5.666666666666667
publisher	Falomir Juegos	3	5.666666666666667
publisher	Fame Products	3	6.666666666666667
publisher	Fame Products	3	6.666666666666667
publisher	Fame Products	5	7.4
publisher	Fame Products	7	7.428571428571429
publisher	Fantasiapelit	13	7.153846153846154
publisher	Fantasiapelit	13	7.153846153846154
publisher	Fantasiapelit	16	7.1875
publisher	Fantasiapelit	17	7.0588235294117645
publisher	Fantasiapelit	3	7.666666666666667
publisher	Fantasiapelit	6	8
publisher	Fantasiapelit	6	8
publisher	Fantasy Flight Games	104	7.221153846153846
publisher	Fantasy Flight Games	14	7.571428571428571
publisher	Fantasy Flight Games	3	8.333333333333334
publisher	Fantasy Flight Games	31	7.741935483870968
publisher	Fantasy Flight Games	37	7.756756756756757
publisher	Fantasy Flight Games	74	7.1891891891891895
publisher	Fantasy Flight Games	75	7.2
publisher	Fantasy Flight Games	97	7.298969072164948
publisher	Fantasy Shop	5	7.4
publisher	Fantasy Shop	5	7.4
publisher	Fantasy Shop	7	7.285714285714286
publisher	Fantasy Shop	7	7.285714285714286
publisher	Feuerland Spiele	3	8.333333333333334
publisher	Feuerland Spiele	3	8.333333333333334
publisher	Fifth Avenue Crystal Ltd.	3	7.666666666666667
publisher	Filosofia Édition	100	7.44
publisher	Filosofia Édition	119	7.369747899159663
publisher	Filosofia Édition	13	7.846153846153846
publisher	Filosofia Édition	139	7.309352517985611
publisher	Filosofia Édition	19	7.7894736842105265
publisher	Filosofia Édition	4	8
publisher	Filosofia Édition	4	8
publisher	Filosofia Édition	93	7.365591397849462
publisher	Flying Frog Productions	3	5.666666666666667
publisher	Flying Frog Productions	5	5.4
publisher	Flying Frog Productions	7	5.285714285714286
