game owned	Vasco da Gama	1
game owned	Verbàlia, el joc	1
game owned	Village	1
game owned	Village: Customer expansion	1
game owned	Volcano	1
game owned	War of the Ring (second edition)	2
game owned	Warhammer Quest	2
game owned	Warhammer: Invasion	1
game owned	Werewolf	1
game owned	Word Winder	1
game owned	World Without End	2
game owned	YINSH	1
game owned	Yggdrasil	1
game owned	Zombie Dice	3
game owned	Zombie Fluxx	3
game owned	Zombies!!!	1
game owned	Zombies!!! 2: Zombie Corps(e)	1
game owned	Zooloretto	1
game owned	Zooloretto: Chameleon	1
game owned	Zug	2
game owned	ZÈRTZ	1
